Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
D1,13-08-1999,Duisburg,Leverkusen,0,0,D
D1,13-08-1999,Wolfsburg,Munich 1860,2,1,H
D1,14-08-1999,Bayern Munich,Hamburg,2,2,D
D1,14-08-1999,Ein Frankfurt,Unterhaching,3,0,H
D1,14-08-1999,Kaiserslautern,Dortmund,1,0,H
D1,14-08-1999,Schalke 04,Bielefeld,1,1,D
D1,14-08-1999,Stuttgart,Werder Bremen,0,0,D
D1,15-08-1999,Hertha,Hansa Rostock,5,2,H
D1,15-08-1999,Ulm,Freiburg,1,1,D
D1,20-08-1999,Bielefeld,Hertha,1,1,D
D1,20-08-1999,Unterhaching,Duisburg,2,0,H
D1,21-08-1999,Dortmund,Wolfsburg,2,1,H
D1,21-08-1999,Freiburg,Ein Frankfurt,2,3,A
D1,21-08-1999,Hamburg,Stuttgart,3,0,H
D1,21-08-1999,Munich 1860,Ulm,4,1,H
D1,21-08-1999,Werder Bremen,Schalke 04,0,1,A
D1,22-08-1999,Hansa Rostock,Kaiserslautern,4,2,H
D1,22-08-1999,Leverkusen,Bayern Munich,2,0,H
D1,27-08-1999,Kaiserslautern,Bielefeld,0,2,A
D1,27-08-1999,Schalke 04,Hamburg,1,3,A
D1,28-08-1999,Bayern Munich,Unterhaching,1,0,H
D1,28-08-1999,Freiburg,Munich 1860,3,0,H
D1,28-08-1999,Hertha,Werder Bremen,1,1,D
D1,28-08-1999,Stuttgart,Leverkusen,1,2,A
D1,28-08-1999,Wolfsburg,Hansa Rostock,2,0,H
D1,29-08-1999,Ein Frankfurt,Duisburg,2,2,D
D1,29-08-1999,Ulm,Dortmund,0,1,A
D1,10-09-1999,Bielefeld,Wolfsburg,0,0,D
D1,10-09-1999,Hansa Rostock,Ulm,2,1,H
D1,11-09-1999,Dortmund,Freiburg,1,1,D
D1,11-09-1999,Duisburg,Bayern Munich,1,2,A
D1,11-09-1999,Hamburg,Hertha,5,1,H
D1,11-09-1999,Leverkusen,Schalke 04,3,2,H
D1,11-09-1999,Unterhaching,Stuttgart,2,0,H
D1,12-09-1999,Munich 1860,Ein Frankfurt,2,0,H
D1,12-09-1999,Werder Bremen,Kaiserslautern,5,0,H
D1,17-09-1999,Freiburg,Hansa Rostock,5,0,H
D1,17-09-1999,Munich 1860,Dortmund,0,3,A
D1,18-09-1999,Ein Frankfurt,Bayern Munich,1,2,A
D1,18-09-1999,Hertha,Leverkusen,0,0,D
D1,18-09-1999,Schalke 04,Unterhaching,1,0,H
D1,18-09-1999,Stuttgart,Duisburg,4,2,H
D1,18-09-1999,Ulm,Bielefeld,2,0,H
D1,19-09-1999,Kaiserslautern,Hamburg,2,0,H
D1,19-09-1999,Wolfsburg,Werder Bremen,2,7,A
D1,24-09-1999,Bayern Munich,Stuttgart,0,1,A
D1,24-09-1999,Hamburg,Wolfsburg,2,2,D
D1,25-09-1999,Dortmund,Ein Frankfurt,1,0,H
D1,25-09-1999,Duisburg,Schalke 04,1,1,D
D1,25-09-1999,Hansa Rostock,Munich 1860,0,0,D
D1,25-09-1999,Unterhaching,Hertha,1,1,D
D1,25-09-1999,Werder Bremen,Ulm,2,2,D
D1,26-09-1999,Bielefeld,Freiburg,2,1,H
D1,26-09-1999,Leverkusen,Kaiserslautern,3,1,H
D1,01-10-1999,Ein Frankfurt,Stuttgart,0,1,A
D1,01-10-1999,Munich 1860,Bielefeld,5,0,H
D1,02-10-1999,Dortmund,Hansa Rostock,3,0,H
D1,02-10-1999,Hertha,Duisburg,2,1,H
D1,02-10-1999,Schalke 04,Bayern Munich,1,1,D
D1,02-10-1999,Ulm,Hamburg,1,2,A
D1,02-10-1999,Wolfsburg,Leverkusen,3,1,H
D1,03-10-1999,Freiburg,Werder Bremen,2,1,H
D1,03-10-1999,Kaiserslautern,Unterhaching,4,2,H
D1,15-10-1999,Bielefeld,Dortmund,0,2,A
D1,15-10-1999,Leverkusen,Ulm,4,1,H
D1,16-10-1999,Bayern Munich,Hertha,3,1,H
D1,16-10-1999,Duisburg,Kaiserslautern,2,2,D
D1,16-10-1999,Hamburg,Freiburg,2,0,H
D1,16-10-1999,Hansa Rostock,Ein Frankfurt,3,1,H
D1,16-10-1999,Werder Bremen,Munich 1860,1,3,A
D1,17-10-1999,Stuttgart,Schalke 04,0,2,A
D1,17-10-1999,Unterhaching,Wolfsburg,1,1,D
D1,22-10-1999,Ein Frankfurt,Schalke 04,0,2,A
D1,22-10-1999,Hansa Rostock,Bielefeld,2,1,H
D1,23-10-1999,Freiburg,Leverkusen,0,0,D
D1,23-10-1999,Hertha,Stuttgart,1,1,D
D1,23-10-1999,Kaiserslautern,Bayern Munich,0,2,A
D1,23-10-1999,Munich 1860,Hamburg,0,0,D
D1,23-10-1999,Ulm,Unterhaching,1,0,H
D1,24-10-1999,Dortmund,Werder Bremen,1,3,A
D1,24-10-1999,Wolfsburg,Duisburg,1,0,H
D1,29-10-1999,Bielefeld,Ein Frankfurt,1,1,D
D1,29-10-1999,Werder Bremen,Hansa Rostock,2,1,H
D1,30-10-1999,Bayern Munich,Wolfsburg,5,0,H
D1,30-10-1999,Duisburg,Ulm,0,0,D
D1,30-10-1999,Hamburg,Dortmund,1,1,D
D1,30-10-1999,Leverkusen,Munich 1860,1,1,D
D1,30-10-1999,Schalke 04,Hertha,1,1,D
D1,31-10-1999,Stuttgart,Kaiserslautern,0,1,A
D1,31-10-1999,Unterhaching,Freiburg,1,0,H
D1,05-11-1999,Freiburg,Duisburg,3,0,H
D1,05-11-1999,Hansa Rostock,Hamburg,3,3,D
D1,06-11-1999,Dortmund,Leverkusen,1,1,D
D1,06-11-1999,Ein Frankfurt,Hertha,4,0,H
D1,06-11-1999,Munich 1860,Unterhaching,2,1,H
D1,06-11-1999,Ulm,Bayern Munich,0,1,A
D1,06-11-1999,Wolfsburg,Stuttgart,0,2,A
D1,07-11-1999,Bielefeld,Werder Bremen,2,2,D
D1,07-11-1999,Kaiserslautern,Schalke 04,2,1,H
D1,19-11-1999,Werder Bremen,Ein Frankfurt,3,1,H
D1,20-11-1999,Bayern Munich,Freiburg,6,1,H
D1,20-11-1999,Hertha,Kaiserslautern,0,1,A
D1,20-11-1999,Leverkusen,Hansa Rostock,1,1,D
D1,20-11-1999,Schalke 04,Wolfsburg,1,1,D
D1,20-11-1999,Stuttgart,Ulm,2,0,H
D1,21-11-1999,Duisburg,Munich 1860,3,0,H
D1,21-11-1999,Hamburg,Bielefeld,5,0,H
D1,26-11-1999,Freiburg,Stuttgart,0,2,A
D1,26-11-1999,Ulm,Schalke 04,1,1,D
D1,27-11-1999,Bielefeld,Leverkusen,1,2,A
D1,27-11-1999,Hansa Rostock,Unterhaching,1,1,D
D1,27-11-1999,Munich 1860,Bayern Munich,1,0,H
D1,27-11-1999,Wolfsburg,Hertha,2,3,A
D1,28-11-1999,Dortmund,Duisburg,2,2,D
D1,28-11-1999,Ein Frankfurt,Kaiserslautern,0,1,A
D1,28-11-1999,Werder Bremen,Hamburg,2,1,H
D1,01-12-1999,Unterhaching,Dortmund,1,0,H
D1,03-12-1999,Duisburg,Hansa Rostock,2,2,D
D1,03-12-1999,Hamburg,Ein Frankfurt,1,0,H
D1,04-12-1999,Bayern Munich,Dortmund,1,1,D
D1,04-12-1999,Hertha,Ulm,3,0,H
D1,04-12-1999,Leverkusen,Werder Bremen,3,2,H
D1,04-12-1999,Schalke 04,Freiburg,2,2,D
D1,04-12-1999,Stuttgart,Munich 1860,1,3,A
D1,05-12-1999,Kaiserslautern,Wolfsburg,2,2,D
D1,05-12-1999,Unterhaching,Bielefeld,2,0,H
D1,10-12-1999,Bielefeld,Duisburg,0,1,A
D1,10-12-1999,Werder Bremen,Unterhaching,2,2,D
D1,11-12-1999,Dortmund,Stuttgart,1,1,D
D1,11-12-1999,Freiburg,Hertha,0,1,A
D1,11-12-1999,Hansa Rostock,Bayern Munich,0,3,A
D1,11-12-1999,Munich 1860,Schalke 04,3,3,D
D1,12-12-1999,Leverkusen,Hamburg,2,2,D
D1,12-12-1999,Ulm,Kaiserslautern,3,1,H
D1,12-12-1999,Wolfsburg,Ein Frankfurt,1,0,H
D1,14-12-1999,Bayern Munich,Bielefeld,2,1,H
D1,14-12-1999,Duisburg,Werder Bremen,0,1,A
D1,14-12-1999,Hertha,Munich 1860,1,1,D
D1,14-12-1999,Stuttgart,Hansa Rostock,3,1,H
D1,15-12-1999,Ein Frankfurt,Leverkusen,1,2,A
D1,15-12-1999,Kaiserslautern,Freiburg,0,2,A
D1,15-12-1999,Schalke 04,Dortmund,0,0,D
D1,15-12-1999,Unterhaching,Hamburg,1,1,D
D1,15-12-1999,Wolfsburg,Ulm,1,2,A
D1,17-12-1999,Bielefeld,Stuttgart,1,2,A
D1,17-12-1999,Werder Bremen,Bayern Munich,0,2,A
D1,18-12-1999,Freiburg,Wolfsburg,1,1,D
D1,18-12-1999,Hamburg,Duisburg,6,1,H
D1,18-12-1999,Leverkusen,Unterhaching,2,1,H
D1,18-12-1999,Munich 1860,Kaiserslautern,2,1,H
D1,18-12-1999,Ulm,Ein Frankfurt,3,0,H
D1,19-12-1999,Dortmund,Hertha,4,0,H
D1,19-12-1999,Hansa Rostock,Schalke 04,1,0,H
D1,04-02-2000,Dortmund,Kaiserslautern,0,1,A
D1,04-02-2000,Hansa Rostock,Hertha,0,1,A
D1,05-02-2000,Bielefeld,Schalke 04,1,2,A
D1,05-02-2000,Freiburg,Ulm,2,0,H
D1,05-02-2000,Leverkusen,Duisburg,3,0,H
D1,05-02-2000,Munich 1860,Wolfsburg,1,2,A
D1,05-02-2000,Werder Bremen,Stuttgart,2,1,H
D1,06-02-2000,Hamburg,Bayern Munich,0,0,D
D1,06-02-2000,Unterhaching,Ein Frankfurt,1,0,H
D1,08-02-2000,Hertha,Bielefeld,2,0,H
D1,08-02-2000,Kaiserslautern,Hansa Rostock,2,2,D
D1,08-02-2000,Schalke 04,Werder Bremen,3,1,H
D1,08-02-2000,Ulm,Munich 1860,3,0,H
D1,09-02-2000,Bayern Munich,Leverkusen,4,1,H
D1,09-02-2000,Duisburg,Unterhaching,2,0,H
D1,09-02-2000,Ein Frankfurt,Freiburg,2,0,H
D1,09-02-2000,Stuttgart,Hamburg,1,3,A
D1,09-02-2000,Wolfsburg,Dortmund,1,0,H
D1,11-02-2000,Bielefeld,Kaiserslautern,1,2,A
D1,11-02-2000,Werder Bremen,Hertha,4,1,H
D1,12-02-2000,Dortmund,Ulm,1,1,D
D1,12-02-2000,Duisburg,Ein Frankfurt,2,3,A
D1,12-02-2000,Hansa Rostock,Wolfsburg,1,1,D
D1,12-02-2000,Leverkusen,Stuttgart,1,0,H
D1,12-02-2000,Unterhaching,Bayern Munich,0,2,A
D1,13-02-2000,Hamburg,Schalke 04,3,1,H
D1,13-02-2000,Munich 1860,Freiburg,3,1,H
D1,18-02-2000,Hertha,Hamburg,2,1,H
D1,18-02-2000,Schalke 04,Leverkusen,1,1,D
D1,19-02-2000,Bayern Munich,Duisburg,4,1,H
D1,19-02-2000,Ein Frankfurt,Munich 1860,3,1,H
D1,19-02-2000,Freiburg,Dortmund,1,1,D
D1,19-02-2000,Kaiserslautern,Werder Bremen,4,3,H
D1,19-02-2000,Stuttgart,Unterhaching,0,2,A
D1,20-02-2000,Ulm,Hansa Rostock,1,1,D
D1,20-02-2000,Wolfsburg,Bielefeld,2,0,H
D1,25-02-2000,Hansa Rostock,Freiburg,1,1,D
D1,26-02-2000,Bayern Munich,Ein Frankfurt,4,1,H
D1,26-02-2000,Duisburg,Stuttgart,1,3,A
D1,26-02-2000,Hamburg,Kaiserslautern,2,1,H
D1,26-02-2000,Leverkusen,Hertha,3,1,H
D1,26-02-2000,Werder Bremen,Wolfsburg,2,2,D
D1,27-02-2000,Dortmund,Munich 1860,1,1,D
D1,27-02-2000,Unterhaching,Schalke 04,3,1,H
D1,28-02-2000,Bielefeld,Ulm,4,1,H
D1,03-03-2000,Freiburg,Bielefeld,1,1,D
D1,03-03-2000,Wolfsburg,Hamburg,4,4,D
D1,04-03-2000,Hertha,Unterhaching,2,1,H
D1,04-03-2000,Kaiserslautern,Leverkusen,1,3,A
D1,04-03-2000,Munich 1860,Hansa Rostock,4,3,H
D1,04-03-2000,Schalke 04,Duisburg,3,0,H
D1,04-03-2000,Stuttgart,Bayern Munich,2,0,H
D1,05-03-2000,Ein Frankfurt,Dortmund,1,1,D
D1,05-03-2000,Ulm,Werder Bremen,2,1,H
D1,10-03-2000,Stuttgart,Ein Frankfurt,0,2,A
D1,10-03-2000,Unterhaching,Kaiserslautern,1,2,A
D1,11-03-2000,Bayern Munich,Schalke 04,4,1,H
D1,11-03-2000,Bielefeld,Munich 1860,2,2,D
D1,11-03-2000,Duisburg,Hertha,0,0,D
D1,11-03-2000,Hamburg,Ulm,1,2,A
D1,11-03-2000,Leverkusen,Wolfsburg,4,1,H
D1,12-03-2000,Hansa Rostock,Dortmund,1,0,H
D1,12-03-2000,Werder Bremen,Freiburg,5,2,H
D1,17-03-2000,Ein Frankfurt,Hansa Rostock,0,0,D
D1,17-03-2000,Wolfsburg,Unterhaching,2,2,D
D1,18-03-2000,Freiburg,Hamburg,0,2,A
D1,18-03-2000,Hertha,Bayern Munich,1,1,D
D1,18-03-2000,Kaiserslautern,Duisburg,3,2,H
D1,18-03-2000,Schalke 04,Stuttgart,3,0,H
D1,18-03-2000,Ulm,Leverkusen,1,9,A
D1,19-03-2000,Dortmund,Bielefeld,1,3,A
D1,19-03-2000,Munich 1860,Werder Bremen,1,0,H
D1,24-03-2000,Bielefeld,Hansa Rostock,2,2,D
D1,24-03-2000,Unterhaching,Ulm,1,0,H
D1,25-03-2000,Bayern Munich,Kaiserslautern,2,2,D
D1,25-03-2000,Duisburg,Wolfsburg,2,3,A
D1,25-03-2000,Hamburg,Munich 1860,2,0,H
D1,25-03-2000,Leverkusen,Freiburg,1,1,D
D1,25-03-2000,Stuttgart,Hertha,1,0,H
D1,26-03-2000,Schalke 04,Ein Frankfurt,0,0,D
D1,26-03-2000,Werder Bremen,Dortmund,3,2,H
D1,31-03-2000,Freiburg,Unterhaching,4,3,H
D1,31-03-2000,Ulm,Duisburg,0,3,A
D1,01-04-2000,Dortmund,Hamburg,0,1,A
D1,01-04-2000,Ein Frankfurt,Bielefeld,2,1,H
D1,01-04-2000,Hertha,Schalke 04,2,1,H
D1,01-04-2000,Munich 1860,Leverkusen,1,2,A
D1,01-04-2000,Wolfsburg,Bayern Munich,1,1,D
D1,02-04-2000,Hansa Rostock,Werder Bremen,1,1,D
D1,02-04-2000,Kaiserslautern,Stuttgart,1,2,A
D1,07-04-2000,Hamburg,Hansa Rostock,1,0,H
D1,07-04-2000,Unterhaching,Munich 1860,1,1,D
D1,08-04-2000,Bayern Munich,Ulm,4,0,H
D1,08-04-2000,Hertha,Ein Frankfurt,1,0,H
D1,08-04-2000,Leverkusen,Dortmund,3,1,H
D1,08-04-2000,Schalke 04,Kaiserslautern,1,2,A
D1,08-04-2000,Stuttgart,Wolfsburg,2,5,A
D1,09-04-2000,Duisburg,Freiburg,1,2,A
D1,09-04-2000,Werder Bremen,Bielefeld,3,1,H
D1,11-04-2000,Dortmund,Unterhaching,1,3,A
D1,11-04-2000,Kaiserslautern,Hertha,1,2,A
D1,11-04-2000,Ulm,Stuttgart,1,1,D
D1,11-04-2000,Wolfsburg,Schalke 04,0,0,D
D1,12-04-2000,Bielefeld,Hamburg,3,0,H
D1,12-04-2000,Ein Frankfurt,Werder Bremen,1,0,H
D1,12-04-2000,Freiburg,Bayern Munich,1,2,A
D1,12-04-2000,Hansa Rostock,Leverkusen,1,1,D
D1,12-04-2000,Munich 1860,Duisburg,4,1,H
D1,14-04-2000,Hertha,Wolfsburg,0,0,D
D1,14-04-2000,Schalke 04,Ulm,0,0,D
D1,15-04-2000,Bayern Munich,Munich 1860,1,2,A
D1,15-04-2000,Duisburg,Dortmund,2,2,D
D1,15-04-2000,Hamburg,Werder Bremen,0,0,D
D1,15-04-2000,Kaiserslautern,Ein Frankfurt,1,0,H
D1,15-04-2000,Stuttgart,Freiburg,1,0,H
D1,16-04-2000,Leverkusen,Bielefeld,4,1,H
D1,16-04-2000,Unterhaching,Hansa Rostock,1,1,D
D1,20-04-2000,Ein Frankfurt,Hamburg,3,0,H
D1,20-04-2000,Werder Bremen,Leverkusen,1,3,A
D1,22-04-2000,Freiburg,Schalke 04,2,1,H
D1,22-04-2000,Hansa Rostock,Duisburg,3,1,H
D1,22-04-2000,Munich 1860,Stuttgart,1,1,D
D1,22-04-2000,Ulm,Hertha,0,1,A
D1,22-04-2000,Wolfsburg,Kaiserslautern,3,2,H
D1,23-04-2000,Bielefeld,Unterhaching,1,0,H
D1,23-04-2000,Dortmund,Bayern Munich,0,1,A
D1,27-04-2000,Duisburg,Bielefeld,0,3,A
D1,28-04-2000,Ein Frankfurt,Wolfsburg,4,0,H
D1,28-04-2000,Hertha,Freiburg,0,0,D
D1,29-04-2000,Bayern Munich,Hansa Rostock,4,1,H
D1,29-04-2000,Kaiserslautern,Ulm,6,2,H
D1,29-04-2000,Schalke 04,Munich 1860,2,2,D
D1,29-04-2000,Stuttgart,Dortmund,1,2,A
D1,30-04-2000,Hamburg,Leverkusen,0,2,A
D1,30-04-2000,Unterhaching,Werder Bremen,1,0,H
D1,13-05-2000,Bielefeld,Bayern Munich,0,3,A
D1,13-05-2000,Dortmund,Schalke 04,1,1,D
D1,13-05-2000,Freiburg,Kaiserslautern,2,1,H
D1,13-05-2000,Hamburg,Unterhaching,3,0,H
D1,13-05-2000,Hansa Rostock,Stuttgart,1,4,A
D1,13-05-2000,Leverkusen,Ein Frankfurt,4,1,H
D1,13-05-2000,Munich 1860,Hertha,2,1,H
D1,13-05-2000,Ulm,Wolfsburg,2,0,H
D1,13-05-2000,Werder Bremen,Duisburg,4,0,H
D1,20-05-2000,Bayern Munich,Werder Bremen,3,1,H
D1,20-05-2000,Duisburg,Hamburg,1,1,D
D1,20-05-2000,Ein Frankfurt,Ulm,2,1,H
D1,20-05-2000,Hertha,Dortmund,0,3,A
D1,20-05-2000,Kaiserslautern,Munich 1860,1,1,D
D1,20-05-2000,Schalke 04,Hansa Rostock,0,2,A
D1,20-05-2000,Stuttgart,Bielefeld,3,3,D
D1,20-05-2000,Unterhaching,Leverkusen,2,0,H
D1,20-05-2000,Wolfsburg,Freiburg,2,1,H
D1,11-08-2000,Dortmund,Hansa Rostock,1,0,H
D1,12-08-2000,Bayern Munich,Hertha,4,1,H
D1,12-08-2000,Freiburg,Stuttgart,4,0,H
D1,12-08-2000,Hamburg,Munich 1860,2,2,D
D1,12-08-2000,Kaiserslautern,Bochum,0,1,A
D1,12-08-2000,Leverkusen,Wolfsburg,2,0,H
D1,12-08-2000,Werder Bremen,Cottbus,3,1,H
D1,13-08-2000,Ein Frankfurt,Unterhaching,3,0,H
D1,13-08-2000,Schalke 04,FC Koln,2,1,H
D1,18-08-2000,Cottbus,Dortmund,1,4,A
D1,19-08-2000,Munich 1860,Werder Bremen,2,1,H
D1,19-08-2000,Bochum,Bayern Munich,0,3,A
D1,19-08-2000,Hertha,Hamburg,4,0,H
D1,19-08-2000,Stuttgart,Leverkusen,4,1,H
D1,19-08-2000,Unterhaching,Freiburg,1,1,D
D1,19-08-2000,Wolfsburg,Kaiserslautern,4,0,H
D1,20-08-2000,FC Koln,Ein Frankfurt,4,1,H
D1,20-08-2000,Hansa Rostock,Schalke 04,0,4,A
D1,05-09-2000,Freiburg,FC Koln,0,0,D
D1,05-09-2000,Kaiserslautern,Stuttgart,1,0,H
D1,05-09-2000,Leverkusen,Unterhaching,1,0,H
D1,05-09-2000,Schalke 04,Cottbus,3,0,H
D1,06-09-2000,Bayern Munich,Wolfsburg,3,1,H
D1,06-09-2000,Dortmund,Munich 1860,2,3,A
D1,06-09-2000,Ein Frankfurt,Hansa Rostock,4,0,H
D1,06-09-2000,Hamburg,Werder Bremen,2,1,H
D1,06-09-2000,Hertha,Bochum,4,0,H
D1,08-09-2000,Unterhaching,Kaiserslautern,0,0,D
D1,09-09-2000,FC Koln,Leverkusen,1,1,D
D1,09-09-2000,Munich 1860,Schalke 04,1,1,D
D1,09-09-2000,Bochum,Hamburg,0,4,A
D1,09-09-2000,Stuttgart,Bayern Munich,2,1,H
D1,09-09-2000,Werder Bremen,Dortmund,1,2,A
D1,09-09-2000,Wolfsburg,Hertha,2,1,H
D1,10-09-2000,Cottbus,Ein Frankfurt,2,0,H
D1,10-09-2000,Hansa Rostock,Freiburg,0,0,D
D1,15-09-2000,Kaiserslautern,FC Koln,3,1,H
D1,16-09-2000,Bayern Munich,Unterhaching,3,1,H
D1,16-09-2000,Bochum,Wolfsburg,2,1,H
D1,16-09-2000,Ein Frankfurt,Munich 1860,1,0,H
D1,16-09-2000,Freiburg,Cottbus,4,1,H
D1,16-09-2000,Hamburg,Dortmund,2,3,A
D1,16-09-2000,Leverkusen,Hansa Rostock,1,2,A
D1,17-09-2000,Hertha,Stuttgart,2,0,H
D1,17-09-2000,Schalke 04,Werder Bremen,1,1,D
D1,22-09-2000,Munich 1860,Freiburg,3,1,H
D1,23-09-2000,FC Koln,Bayern Munich,1,2,A
D1,23-09-2000,Cottbus,Leverkusen,1,2,A
D1,23-09-2000,Dortmund,Schalke 04,0,4,A
D1,23-09-2000,Stuttgart,Bochum,1,1,D
D1,23-09-2000,Werder Bremen,Ein Frankfurt,1,1,D
D1,23-09-2000,Wolfsburg,Hamburg,4,4,D
D1,24-09-2000,Hansa Rostock,Kaiserslautern,1,0,H
D1,24-09-2000,Unterhaching,Hertha,5,2,H
D1,29-09-2000,Ein Frankfurt,Dortmund,1,1,D
D1,30-09-2000,Bayern Munich,Hansa Rostock,0,1,A
D1,30-09-2000,Bochum,Unterhaching,3,0,H
D1,30-09-2000,Hamburg,Schalke 04,2,0,H
D1,30-09-2000,Hertha,FC Koln,4,2,H
D1,30-09-2000,Kaiserslautern,Cottbus,1,1,D
D1,30-09-2000,Leverkusen,Munich 1860,0,0,D
D1,01-10-2000,Freiburg,Werder Bremen,0,1,A
D1,01-10-2000,Wolfsburg,Stuttgart,2,2,D
D1,13-10-2000,Dortmund,Freiburg,1,0,H
D1,14-10-2000,FC Koln,Bochum,2,0,H
D1,14-10-2000,Munich 1860,Kaiserslautern,0,4,A
D1,14-10-2000,Cottbus,Bayern Munich,1,0,H
D1,14-10-2000,Schalke 04,Ein Frankfurt,4,0,H
D1,14-10-2000,Stuttgart,Hamburg,3,3,D
D1,14-10-2000,Werder Bremen,Leverkusen,3,3,D
D1,15-10-2000,Hansa Rostock,Hertha,0,2,A
D1,15-10-2000,Unterhaching,Wolfsburg,0,3,A
D1,20-10-2000,Kaiserslautern,Werder Bremen,2,0,H
D1,21-10-2000,Bayern Munich,Munich 1860,3,1,H
D1,21-10-2000,Hamburg,Ein Frankfurt,2,0,H
D1,21-10-2000,Hertha,Cottbus,3,1,H
D1,21-10-2000,Leverkusen,Dortmund,2,0,H
D1,21-10-2000,Stuttgart,Unterhaching,2,2,D
D1,21-10-2000,Wolfsburg,FC Koln,6,0,H
D1,22-10-2000,Bochum,Hansa Rostock,1,2,A
D1,22-10-2000,Freiburg,Schalke 04,3,1,H
D1,27-10-2000,Cottbus,Bochum,2,0,H
D1,28-10-2000,Dortmund,Kaiserslautern,1,2,A
D1,28-10-2000,Ein Frankfurt,Freiburg,3,0,H
D1,28-10-2000,Hansa Rostock,Wolfsburg,1,1,D
D1,28-10-2000,Schalke 04,Leverkusen,0,0,D
D1,28-10-2000,Unterhaching,Hamburg,2,1,H
D1,28-10-2000,Werder Bremen,Bayern Munich,1,1,D
D1,29-10-2000,FC Koln,Stuttgart,3,2,H
D1,29-10-2000,Munich 1860,Hertha,0,1,A
D1,03-11-2000,Leverkusen,Ein Frankfurt,1,0,H
D1,04-11-2000,Bayern Munich,Dortmund,6,2,H
D1,04-11-2000,Bochum,Munich 1860,1,1,D
D1,04-11-2000,Hamburg,Freiburg,5,0,H
D1,04-11-2000,Hertha,Werder Bremen,4,1,H
D1,04-11-2000,Kaiserslautern,Schalke 04,3,2,H
D1,04-11-2000,Stuttgart,Hansa Rostock,1,0,H
D1,05-11-2000,Unterhaching,FC Koln,0,0,D
D1,05-11-2000,Wolfsburg,Cottbus,1,1,D
D1,10-11-2000,Dortmund,Hertha,2,0,H
D1,11-11-2000,FC Koln,Hamburg,4,2,H
D1,11-11-2000,Munich 1860,Wolfsburg,2,2,D
D1,11-11-2000,Freiburg,Leverkusen,0,1,A
D1,11-11-2000,Hansa Rostock,Unterhaching,2,2,D
D1,11-11-2000,Schalke 04,Bayern Munich,3,2,H
D1,11-11-2000,Werder Bremen,Bochum,2,0,H
D1,12-11-2000,Cottbus,Stuttgart,2,1,H
D1,12-11-2000,Ein Frankfurt,Kaiserslautern,3,1,H
D1,17-11-2000,Stuttgart,Munich 1860,2,2,D
D1,18-11-2000,FC Koln,Hansa Rostock,5,2,H
D1,18-11-2000,Bayern Munich,Ein Frankfurt,1,2,A
D1,18-11-2000,Hamburg,Leverkusen,1,3,A
D1,18-11-2000,Hertha,Schalke 04,0,4,A
D1,18-11-2000,Kaiserslautern,Freiburg,0,2,A
D1,18-11-2000,Wolfsburg,Werder Bremen,1,1,D
D1,19-11-2000,Bochum,Dortmund,1,1,D
D1,19-11-2000,Unterhaching,Cottbus,2,1,H
D1,24-11-2000,Schalke 04,Bochum,2,1,H
D1,25-11-2000,Cottbus,FC Koln,0,2,A
D1,25-11-2000,Dortmund,Wolfsburg,2,1,H
D1,25-11-2000,Ein Frankfurt,Hertha,0,4,A
D1,25-11-2000,Freiburg,Bayern Munich,1,1,D
D1,25-11-2000,Hansa Rostock,Hamburg,1,0,H
D1,26-11-2000,Munich 1860,Unterhaching,0,2,A
D1,26-11-2000,Leverkusen,Kaiserslautern,4,2,H
D1,26-11-2000,Werder Bremen,Stuttgart,1,0,H
D1,02-12-2000,FC Koln,Munich 1860,4,0,H
D1,02-12-2000,Bayern Munich,Leverkusen,2,0,H
D1,02-12-2000,Bochum,Ein Frankfurt,2,1,H
D1,02-12-2000,Hertha,Freiburg,2,2,D
D1,02-12-2000,Stuttgart,Dortmund,0,2,A
D1,02-12-2000,Wolfsburg,Schalke 04,2,0,H
D1,03-12-2000,Cottbus,Hansa Rostock,1,0,H
D1,03-12-2000,Kaiserslautern,Hamburg,2,1,H
D1,08-12-2000,Ein Frankfurt,Wolfsburg,1,2,A
D1,09-12-2000,Munich 1860,Hansa Rostock,2,1,H
D1,09-12-2000,Dortmund,Unterhaching,3,0,H
D1,09-12-2000,Freiburg,Bochum,5,0,H
D1,09-12-2000,Kaiserslautern,Bayern Munich,0,0,D
D1,09-12-2000,Schalke 04,Stuttgart,2,1,H
D1,10-12-2000,Hamburg,Cottbus,2,1,H
D1,10-12-2000,Leverkusen,Hertha,4,0,H
D1,10-12-2000,Werder Bremen,FC Koln,2,1,H
D1,12-12-2000,Stuttgart,Ein Frankfurt,4,1,H
D1,12-12-2000,Unterhaching,Schalke 04,0,2,A
D1,12-12-2000,Wolfsburg,Freiburg,1,2,A
D1,13-12-2000,FC Koln,Dortmund,0,0,D
D1,13-12-2000,Bayern Munich,Hamburg,2,1,H
D1,13-12-2000,Bochum,Leverkusen,3,2,H
D1,13-12-2000,Cottbus,Munich 1860,2,3,A
D1,13-12-2000,Hansa Rostock,Werder Bremen,5,2,H
D1,13-12-2000,Hertha,Kaiserslautern,2,4,A
D1,15-12-2000,Unterhaching,Ein Frankfurt,2,0,H
D1,16-12-2000,FC Koln,Schalke 04,2,2,D
D1,16-12-2000,Munich 1860,Hamburg,2,1,H
D1,16-12-2000,Bochum,Kaiserslautern,0,1,A
